教材,册,单元,课,游戏名称,游戏链接
华文（小学·北京华文学院版）,第二册,一,一,句子练习,https://wordwall.net/resource/81951375
华文（小学·北京华文学院版）,第二册,一,一,反义词练习,https://wordwall.net/resource/81946437
华文（小学·北京华文学院版）,第二册,一,一,字词理解,https://wordwall.net/resource/81864578
华文（小学·北京华文学院版）,第二册,一,二,字词认读1,https://wordwall.net/resource/82276770
华文（小学·北京华文学院版）,第二册,一,二,字词认读2,https://wordwall.net/resource/82276500
华文（小学·北京华文学院版）,第二册,一,二,字词理解,https://wordwall.net/resource/82276307
华文（小学·北京华文学院版）,第二册,一,二,木字旁/草字头,https://wordwall.net/resource/82275300
华文（小学·北京华文学院版）,第二册,一,三,词语理解,https://wordwall.net/resource/84733490
华文（小学·北京华文学院版）,第二册,一,三,句子练习,https://wordwall.net/resource/86194117
华文（小学·北京华文学院版）,第二册,一,三,听力练习,https://wordwall.net/resource/86194329
华文（小学·北京华文学院版）,第二册,一,四,词语理解,https://wordwall.net/resource/86444373
华文（小学·北京华文学院版）,第二册,一,四,句子练习,https://wordwall.net/resource/86446828
华文（小学·北京华文学院版）,第二册,一,四,听力练习,https://wordwall.net/resource/86446599
华文（小学·北京华文学院版）,第二册,一,五,量词练习,https://wordwall.net/resource/86445039
华文（小学·北京华文学院版）,第二册,一,五,偏旁练习,https://wordwall.net/resource/86447594
华文（小学·北京华文学院版）,第二册,一,五,听力+词语理解,https://wordwall.net/resource/86449483
华文（小学·北京华文学院版）,第二册,二,六,听力练习,https://wordwall.net/resource/87855415
华文（小学·北京华文学院版）,第二册,二,六,词语理解,https://wordwall.net/resource/86824802
华文（小学·北京华文学院版）,第二册,二,六,句子练习,https://wordwall.net/resource/87301849
华文（小学·北京华文学院版）,第二册,二,七,听力练习,https://wordwall.net/resource/87858139
华文（小学·北京华文学院版）,第二册,二,七,词语理解,https://wordwall.net/resource/87857896
华文（小学·北京华文学院版）,第二册,二,七,词语理解2,https://wordwall.net/resource/87857984
华文（小学·北京华文学院版）,第二册,二,七,句子练习,https://wordwall.net/resource/87857401
华文（小学·北京华文学院版）,第二册,二,八,听力,https://wordwall.net/resource/88645944
华文（小学·北京华文学院版）,第二册,二,八,词语理解,https://wordwall.net/resource/88645944
华文（小学·北京华文学院版）,第二册,二,八,词语理解2,https://wordwall.net/resource/88646292
华文（小学·北京华文学院版）,第二册,二,八,句子练习,https://wordwall.net/resource/88646510
华文（小学·北京华文学院版）,第二册,二,九,听力练习,https://wordwall.net/resource/93800500
华文（小学·北京华文学院版）,第二册,二,九,词语理解,https://wordwall.net/resource/93800457
华文（小学·北京华文学院版）,第二册,二,九,句子练习,https://wordwall.net/resource/93802136
华文（小学·北京华文学院版）,第二册,二,十,字词理解,https://wordwall.net/resource/97725675
华文（小学·北京华文学院版）,第二册,二,十,字词认读,https://wordwall.net/resource/97725396
华文（小学·北京华文学院版）,第二册,二,十,听力练习,https://wordwall.net/resource/97726767
华文（小学·北京华文学院版）,第二册,二,十,句子练习,https://wordwall.net/resource/98215124
华文（小学·北京华文学院版）,第二册,二,十,词语学习,https://quizlet.com/ie/1089206453/10%E6%88%91%E4%BB%AC%E7%9A%84%E6%95%99%E5%AE%A4-flash-cards/?i=3vrcho&x=1qqt
华文（小学·北京华文学院版）,第二册,三,十一,字词理解,https://wordwall.net/resource/98221843
华文（小学·北京华文学院版）,第二册,三,十一,字词认读,https://wordwall.net/resource/98222536
华文（小学·北京华文学院版）,第二册,三,十一,听力练习,https://wordwall.net/resource/98222637
华文（小学·北京华文学院版）,第二册,三,十一,句子练习,https://wordwall.net/resource/99174137
华文（小学·北京华文学院版）,第二册,三,十一,词语学习,https://quizlet.com/ie/1089210835/11%E5%B0%8F%E5%8D%8E%E5%B8%B8%E5%8E%BB%E5%9B%BE%E4%B9%A6%E9%A6%86-flash-cards/?i=3vrcho&x=1jqt
"华文（小学·北京华文学院版）打字练习,https://play.blooket.com/play?hwId=690b878437e7e88c72d58b71",第二册,三,十一,打字练习,",https://play.blooket.com/play?hwId=690b878437e7e88c72d58b71"
,,,,,
华文（小学·北京华文学院版）,第三册,二,六,句子练习,https://wordwall.net/resource/80168255/
华文（小学·北京华文学院版）,第三册,二,六,字词理解,https://wordwall.net/resource/80167546/
华文（小学·北京华文学院版）,第三册,二,六,字词认读,https://wordwall.net/resource/80165456/
华文（小学·北京华文学院版）,第三册,二,七,字词理解,https://wordwall.net/resource/80068616
华文（小学·北京华文学院版）,第三册,二,七,量词练习,https://wordwall.net/resource/80224277
华文（小学·北京华文学院版）,第三册,二,七,字词理解,https://wordwall.net/resource/80227582
华文（小学·北京华文学院版）,第三册,二,七,句子练习,https://wordwall.net/resource/80228243
华文（小学·北京华文学院版）,第三册,二,八,字词认读,https://wordwall.net/resource/80168690
华文（小学·北京华文学院版）,第三册,二,八,字词理解,https://wordwall.net/resource/80638505
华文（小学·北京华文学院版）,第三册,二,八,句子练习,https://wordwall.net/resource/80640611
华文（小学·北京华文学院版）,第三册,二,八,偏旁练习,https://wordwall.net/resource/80645634
华文（小学·北京华文学院版）,第三册,二,九,听力练习,https://wordwall.net/resource/84780864
华文（小学·北京华文学院版）,第三册,二,九,词语理解,https://wordwall.net/resource/84781056/
华文（小学·北京华文学院版）,第三册,二,九,句子练习,https://wordwall.net/resource/86360358
华文（小学·北京华文学院版）,第三册,二,十,句子练习,https://wordwall.net/resource/86360533
